airline,flightNumber,origin,destination,daysOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
GoAir,559,Lucknow,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:45,17:45,2020-10-28,2021-03-30
GoAir,580,Kochi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:45,06:15,2020-10-28,2021-03-30
GoAir,587,Kochi,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,19:20,2020-10-28,2021-03-30
GoAir,587,Kochi,Hyderabad,Monday,17:50,19:20,2020-10-28,2021-03-30
GoAir,553,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:05,12:45,2020-10-29,2021-03-30
GoAir,552,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:35,22:20,2020-10-28,2021-03-30
GoAir,553,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:00,12:45,2021-04-01,2021-10-26
GoAir,552,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:40,22:20,2021-03-31,2021-10-26
GoAir,701,Jaipur,Hyderabad,Saturday,08:55,10:55,2020-10-28,2021-03-24
GoAir,431,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45,15:05,2020-10-28,2021-03-30
GoAir,894,Bengaluru,Hyderabad,Saturday,11:30,12:40,2020-10-28,2021-03-24
GoAir,952,Guwahati,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:25,09:45,2020-10-28,2021-03-30
GoAir,662,Goa,Hyderabad,Saturday,10:45,12:10,2020-10-28,2021-03-24
GoAir,125,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,19:20,2020-10-28,2021-03-30
GoAir,424,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:20,12:45,2020-10-28,2021-03-30
GoAir,996,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:55,01:25,2020-10-28,2021-03-30
GoAir,616,Nagpur,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:25,10:05,2020-12-01,2021-01-31
GoAir,158,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:40,16:10,2020-10-28,2021-03-30
GoAir,151,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:05,19:25,2020-10-28,2021-03-30
GoAir,851,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:25,17:40,2021-03-31,2021-10-26
GoAir,758,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20,18:35,2021-03-31,2021-10-26
GoAir,616,MIHAN,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:25,10:05,2020-12-01,2021-01-31
GoAir,208,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",06:40,08:00,2020-10-28,2020-11-30
GoAir,208,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",06:40,08:00,2021-02-01,2021-03-29
GoAir,188,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:30,20:00,2020-10-28,2021-03-30
GoAir,327,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:55,10:10,2020-10-28,2021-03-30
GoAir,643,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:15,23:30,2020-10-28,2021-03-30
GoAir,712,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,11:05,2020-10-28,2021-01-31
GoAir,221,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:25,12:55,2021-02-01,2021-03-30
GoAir,134,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:05,2020-10-28,2020-11-30
GoAir,134,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:05,2021-02-01,2021-03-30
GoAir,944,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55,14:45,2020-10-28,2021-03-30
GoAir,132,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:05,17:55,2020-10-28,2021-03-30
GoAir,150,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,18:55,2020-10-28,2021-03-30
GoAir,218,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,21:55,2020-10-28,2020-11-30
GoAir,144,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25,00:20,2020-10-28,2020-11-30
GoAir,144,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:25,00:20,2021-02-01,2021-03-30
GoAir,720,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:10,09:50,2020-10-28,2021-03-30
GoAir,718,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:35,19:15,2020-10-28,2021-03-30
GoAir,714,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20,00:10,2020-10-28,2021-03-30
GoAir,720,Ahmedabad,Delhi,"Monday,Wednesday,Thursday,Saturday",09:30,11:20,2021-03-31,2021-10-25
GoAir,720,Ahmedabad,Delhi,"Sunday,Tuesday,Friday",09:30,11:20,2021-04-01,2021-10-26
GoAir,718,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55,20:40,2021-03-31,2021-10-26
GoAir,116,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:45,10:40,2020-10-28,2021-03-30
GoAir,124,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:40,14:35,2020-10-29,2021-03-30
GoAir,118,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,23:50,2020-10-28,2021-03-30
GoAir,246,Ranchi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,13:10,2020-10-28,2021-03-30
GoAir,174,Pune,Delhi,Friday,10:45,13:10,2020-11-03,2021-03-30
GoAir,174,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",11:15,13:30,2020-10-28,2021-03-29
GoAir,278,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,23:15,2020-10-28,2021-03-30
GoAir,155,Guwahati,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,20:15,2020-10-28,2021-03-30
GoAir,205,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,12:55,2021-02-01,2021-03-30
GoAir,186,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00,17:25,2020-10-28,2021-03-30
GoAir,285,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:45,20:15,2020-10-28,2021-03-30
GoAir,102,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:20,16:55,2020-10-28,2021-03-30
GoAir,129,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,11:10,2021-02-01,2021-03-30
GoAir,129,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,12:50,2020-10-28,2021-01-31
GoAir,224,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:40,16:45,2020-10-28,2021-03-30
GoAir,697,Srinagar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:15,17:45,2020-10-28,2021-03-30
GoAir,736,Patna,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:55,20:10,2020-10-28,2021-03-30
GoAir,760,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:40,10:55,2020-10-28,2021-03-30
GoAir,405,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:50,23:05,2020-10-28,2021-03-30
GoAir,615,Delhi,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:05,07:55,2020-12-01,2021-01-31
GoAir,142,Mumbai,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:00,20:40,2020-10-28,2021-03-30
GoAir,473,Patna,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:35,23:45,2020-10-28,2021-03-30
GoAir,809,Bengaluru,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,12:45,2020-10-28,2021-03-30
GoAir,812,Bengaluru,Nagpur,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:10,23:55,2020-10-28,2021-03-30
GoAir,812,Bengaluru,Nagpur,Monday,23:00,00:45,2020-10-30,2021-03-26
GoAir,283,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:40,08:55,2020-10-28,2021-03-30
GoAir,157,Delhi,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,13:10,2020-10-28,2021-03-30
GoAir,155,Delhi,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:30,15:30,2020-10-28,2021-03-30
GoAir,151,Guwahati,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:30,16:35,2020-10-28,2021-03-30
GoAir,981,Chennai,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:50,12:40,2020-10-28,2021-03-30
GoAir,541,Kolkata,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:55,14:10,2020-10-28,2021-03-30
GoAir,615,Delhi,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:05,07:55,2020-12-01,2021-01-31
GoAir,142,Mumbai,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:00,20:40,2020-10-28,2021-03-30
GoAir,473,Patna,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:35,23:45,2020-10-28,2021-03-30
GoAir,809,Bengaluru,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:10,12:45,2020-10-28,2021-03-30
GoAir,812,Bengaluru,MIHAN,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:10,23:55,2020-10-28,2021-03-30
GoAir,812,Bengaluru,MIHAN,Monday,23:00,00:45,2020-10-30,2021-03-26
GoAir,283,Pune,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:40,08:55,2020-10-28,2021-03-30
GoAir,207,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",05:00,06:10,2020-10-28,2020-11-30
GoAir,207,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",05:00,06:10,2021-02-01,2021-03-29
GoAir,211,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:00,10:15,2020-10-28,2021-03-30
GoAir,214,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:50,18:00,2020-10-28,2021-03-30
GoAir,463,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:55,07:20,2021-03-01,2021-03-30
GoAir,395,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,2020-10-28,2020-11-30
GoAir,395,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,2020-12-01,2021-01-31
GoAir,395,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:35,12:55,2021-02-01,2021-03-30
GoAir,497,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:10,17:25,2020-10-28,2021-03-30
GoAir,805,Bengaluru,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:20,10:45,2020-10-28,2021-03-30
GoAir,808,Bengaluru,Lucknow,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:00,18:30,2020-10-28,2021-03-30
GoAir,808,Bengaluru,Lucknow,Monday,16:40,19:05,2020-10-30,2021-03-26
GoAir,805,Bengaluru,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:20,10:35,2021-03-31,2021-10-26
GoAir,581,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:50,08:55,2020-10-28,2021-03-30
GoAir,701,Hyderabad,Kochi,Saturday,11:45,13:20,2020-10-28,2021-03-24
GoAir,591,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:25,21:15,2020-10-28,2021-03-30
GoAir,347,Mumbai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,12:50,2020-10-28,2020-11-30
GoAir,336,Mumbai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:15,19:20,2020-10-28,2021-03-30
GoAir,701,Ahmedabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",10:50,13:20,2020-10-29,2021-03-30
GoAir,729,Ahmedabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:30,20:30,2020-10-28,2021-03-30
GoAir,411,Bengaluru,Kochi,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:50,13:50,2020-10-28,2021-03-30
GoAir,592,Goa,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:20,23:55,2020-10-28,2021-03-30
GoAir,943,Kolkata,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:50,13:35,2020-10-28,2021-03-30
GoAir,530,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:00,09:15,2020-10-28,2021-03-30
GoAir,640,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:05,20:25,2020-10-28,2021-03-30
GoAir,544,Delhi,Mumbai,"Sunday,Friday",22:40,01:00,2020-10-29,2021-03-30
GoAir,247,Bhubaneswar,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:55,22:35,2020-10-28,2021-03-30
GoAir,141,Nagpur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,10:50,2020-10-28,2021-03-30
GoAir,141,MIHAN,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,10:50,2020-10-28,2021-03-30
GoAir,464,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:55,10:20,2021-03-01,2021-03-30
